distance_um,lod_nm,ser_at_lod,data_rate_bps,symbol_period_s
25,371.0,0.005,0.04975,20.0
50,1297.0,0.01,0.033,30.0
75,3592.0,0.01,0.014558823529411765,68.0
100,8954.0,0.0,0.008264462809917356,121.0
125,23132.0,0.005,0.005264550264550264,189.0
150,60431.0,0.005,0.0036446886446886446,273.0
175,,1.0,0.0,371.0
200,,1.0,0.0,485.0
225,,1.0,0.0,614.0
250,,1.0,0.0,758.0
