distance_um,lod_nm,ser_at_lod,data_rate_bps,symbol_period_s
25,,1.0,0.0,20.0
50,,1.0,0.0,30.0
75,,1.0,0.0,68.0
100,,1.0,0.0,121.0
125,,1.0,0.0,189.0
150,,1.0,0.0,273.0
175,,1.0,0.0,371.0
200,,1.0,0.0,485.0
225,,1.0,0.0,614.0
250,,1.0,0.0,758.0
